treatment_code,description,list_price,confidence,tier,window_used,window_charges,mode_share_pct,second_price,second_count,third_price,third_count,list_price_365d,confidence_365d,uses_365d,revenue_365d,price_changed
139870,"Fortiflora SA Canine",41.1,28,LOW,90d,34,17.6,9.59,6,19.18,4,9.59,45,78,1662.22,true
138276,"Simparica TRIO Tan 5.1-10kg",91.28,27,LOW,365d,18,22.2,70.82,4,176.06,2,91.28,27,18,1660.2,false
BFA,"Idexx-Cobalamin (Vit B12)  Folate Add-on",207.5,91,HIGH,365d,8,100,,0,,0,207.5,91,8,1660,false
VACA,"Canine DA2PPv Annual",110,94,HIGH,365d,15,100,,0,,0,110,94,15,1650,false
132850,"Cytopoint - 30mg",106.6,48,LOW,365d,16,50,93.07,6,114.7,2,106.6,48,16,1640.62,false
133026,"Simparica 80mg (20.1-40kg) Green",81.47,28,LOW,365d,23,21.7,67.16,5,64.45,3,81.47,28,23,1636.62,false
139871,"Fortiflora SA Feline",50.1,33,LOW,90d,30,20,8.89,5,17.78,4,13.7,33,78,1616.47,true
138279,"Simparica TRIO Brown 40.1-60kg",50.48,42,LOW,365d,15,33.3,138.44,3,56.77,2,50.48,42,15,1615.21,false
116987,"Vetoryl 30mg Caps - 30s",118.85,49,LOW,365d,9,44.4,142.88,2,273.76,2,118.85,49,9,1610.54,false
143009,"Cardalis Chew-2.5mg Benaz/20mg Spirono",69,81,HIGH,365d,23,78.3,86.7,2,87,2,69,81,23,1607.1,false
308A,"Cremation Communal 10-29kg",75,68,MEDIUM,365d,20,70,90,6,,0,75,68,20,1590,false
NSAIDIN,"NSAID + SDMA IN",122.28,93,HIGH,365d,13,100,,0,,0,122.28,93,13,1589.64,false
BARA,"Idexx Bile Acids (Single Sample) Add-on",121.9,93,HIGH,365d,13,100,,0,,0,121.9,93,13,1584.7,false
