treatment_code,description,list_price,last_changed,days_held,months_held,previous_price,last_old_price_date,confidence,tier,share_pct,charges_in_run,drifting,drift_price,drift_months,uses_365d,revenue_365d
137234,"Hills Fel Gi Biome - 8.5lbs",100,2025-09-23,194,5,96.42,2025-08-15,82,HIGH,84.2,19,true,104,1,26,2591.38
107355,"Surolan Drops 30ml",76.91,2025-01-07,453,7,72.5,2025-01-03,94,HIGH,92.3,39,true,91.12,2,30,2545.3
121047,"MCRC K9 GI Low Fat 385g",71.4,2025-06-25,284,4,23.8,2025-06-19,74,MEDIUM,73.1,26,true,71.4,1,38,2536.38
139870,"Fortiflora PRO K9 Sachet",41.1,2025-10-08,179,5,9.59,2025-10-02,77,HIGH,67.6,37,false,,0,81,2522.33
PRCRE2,"Private Cremation w/ Scatter 1.1kg-10kg",210,2025-06-14,295,4,196,2025-01-16,84,HIGH,100,10,false,,0,12,2520
117004,"RC Fel Urinary SO - 1.5kg",33.98,2025-06-04,305,8,32.25,2025-06-03,96,HIGH,92.6,54,true,35.33,2,72,2507.64
ANAL,"Anal Glands",35.5,2022-08-19,1325,41,31.95,2022-07-20,100,HIGH,99.6,265,false,,0,70,2485
126022,"Caninsulin 10ml",68.86,2024-03-09,757,7,60.42,2024-02-24,93,HIGH,95.5,22,true,78.62,2,27,2474.9
117821,"RC K9 Hypo HP - 11.5kg",153.66,2025-08-28,220,5,145.85,2025-07-15,88,HIGH,100,11,true,159.81,2,16,2455.24
113573,"Hills Fel c/d Ocean Fish - 5.5oz",75.12,2025-09-04,213,7,12.52,2025-08-12,76,HIGH,65,20,false,,0,38,2449.81
333F,"Feline FVRCP (3yr)",30,2022-09-06,1307,41,27,2022-07-30,100,HIGH,99.7,335,false,,0,81,2430
139644,"RC Fel Renal Support Early - 85g",95.04,2025-05-01,339,9,77.22,2025-04-18,84,HIGH,81.3,16,true,49.44,1,23,2409.54
PRICREM3,"Private Cremation w/ Scatter 10.1-45kg",240,2025-02-01,428,6,224,2025-01-15,94,HIGH,100,15,false,,0,10,2400
125193,"Vanectyl-P",44.34,2020-08-14,2060,4,33.17,2020-06-28,45,LOW,33.3,6,true,93.76,1,38,2366.84
119002,"PVD K9 EN - 380g",66.6,2025-07-23,256,6,133.2,2025-06-28,76,HIGH,65,20,true,133.2,2,32,2315.46
128082,"Prozinc Human Insulin 40IU/ML 10ML",112.58,2025-12-02,124,3,150.11,2025-10-28,55,MEDIUM,60,5,false,,0,17,2266.57
109637,"Hills Fel z/d - 156g",42.36,2025-11-07,149,4,67.85,2025-10-21,51,MEDIUM,42.9,7,false,,0,25,2250.7
116986,"Vetoryl 10mg capsules per box",117.21,2025-09-25,192,3,97.02,2025-07-23,49,LOW,44.4,9,false,,0,15,2205.85
BM1,"Fecal  Smear",40.6,2022-08-06,1338,34,36.54,2022-07-29,100,HIGH,100,183,false,,0,54,2192.4
116018,"MCRC Fel Urinary SO - 8kg",129.81,2025-08-20,228,4,123.21,2025-07-04,79,HIGH,90.9,11,false,,0,15,2173.77
FT,"Fluid Therapy - Dental",55,2025-01-23,437,13,,,99,HIGH,98.5,65,false,,0,40,2172.5
US,"Echocardiogram -Fvs Imaging",539.5,2024-12-06,485,4,507,2023-08-18,81,HIGH,100,6,false,,0,4,2158
116987,"Vetoryl 30mg capsules per box",273.76,2025-09-29,188,3,142.88,2025-08-22,66,MEDIUM,80,5,false,,0,11,2134.03
0930,"Senior Feline Package Promo",340,2019-02-03,2618,2,,,50,MEDIUM,45.5,22,true,349,1,6,2120
140363,"Librela (5-10kg) per vial",87.8,2025-09-11,206,6,76.95,2025-07-21,89,HIGH,92.9,14,true,94.27,1,25,2116.09
140387,"PVD Fel EN Savory Selects Chicken - 156g",88.56,2025-11-20,136,5,18.45,2025-10-02,58,MEDIUM,50,6,false,,0,30,2088.36
0013,"Canine  Spay   25-35 kg",233.28,2025-03-05,396,3,388.8,2025-01-22,47,LOW,42.9,7,true,388.8,2,6,2076.76
115314,"Clavaseptin 250mg tabs",87,2024-07-09,635,3,47,2024-06-27,41,LOW,33.3,6,true,36.8,2,43,2062.91
122352,"RC Fel GI Mod Cal - 3.5kg",149.2,2025-12-05,121,3,74.6,2025-11-20,55,MEDIUM,60,5,false,,0,22,2059.74
0009,"Canine  Neuter 25--35 kg",295,2025-01-29,431,4,380,2024-12-20,76,HIGH,87.5,8,true,177,2,8,2050.25
119898,"Aurizon Ear Drops 20mL",101.8,2025-10-07,180,4,88.96,2025-07-08,83,HIGH,100,9,false,,0,22,2047.82
138278,"Simparica TRIO Green 20.1-40kg",43.25,2024-07-02,642,4,116.75,2024-06-08,82,HIGH,93.3,15,true,55.73,1,19,2037.92
142319,"Clavaseptin 750mg tablets",49.17,2026-01-08,87,3,118.2,2025-12-30,34,LOW,25,4,false,,0,29,2019.42
138254,"RC K9 Urinary SO - 11.5kg",136.73,2025-01-16,444,10,98.44,2024-11-27,89,HIGH,89.5,19,false,,0,15,2018.12
137231,"K9 Hills Gi Biome 16lbs",107.14,2025-10-03,184,3,103.58,2025-08-06,81,HIGH,100,13,false,,0,19,2014.3
115971,"MCRC K9 Hypo HP 8 kg",126.49,2025-07-07,272,6,134.4,2023-02-15,89,HIGH,92.3,13,true,131.55,2,16,2013.72
REEX,"Recheck Exam",69,2025-12-03,123,4,65,2025-10-22,85,HIGH,100,13,false,,0,30,1996
128901,"Hills Fel c/d Chkn Stew - 2.9oz",71.52,2025-08-05,243,4,68.64,2025-07-24,76,HIGH,87.5,8,false,,0,33,1988.44
131070,"PVD Fel UR ST/OX Turkey - 156g",72.96,2025-11-13,143,3,72.72,2025-10-28,70,MEDIUM,81.8,11,true,75.84,2,38,1986.29
0110,"Foreign Body/Exploratory 1hr",985.8,2025-05-10,330,2,,,69,MEDIUM,100,2,false,,0,2,1971.6
137162,"Revolution Plus - Cats 5.1-10kg (Green)",186.42,2025-04-11,359,3,28.99,2025-03-12,44,LOW,40,5,true,37.7,1,32,1927.68
CLIP,"Clip and Clean/Scrub",35,2023-03-14,1118,34,20,2023-02-04,98,HIGH,96.3,270,false,,0,51,1915
115795,"Milbemax cats (16mg/40mg)",49.62,2025-09-24,193,3,42.18,2025-09-19,53,MEDIUM,46.7,15,true,28.06,2,51,1889.62
CLIPCL,"Clip & Clean Abscess/Wound per 10 mins",89.9,2025-02-25,404,6,,,83,HIGH,80,15,true,89.9,2,22,1886.94
132851,"Cytopoint - 40mg",149.6,2023-04-01,1100,7,253.3,2023-03-02,70,MEDIUM,62.5,8,true,238.48,1,15,1860.72
137068,"Hills Fel c/d Stress Chicken - 4lbs",46.42,2025-07-14,265,7,45.54,2025-07-11,93,HIGH,92.6,27,true,48.28,2,39,1856.32
137233,"Hills Fel GI Biome - 4lbs",55.35,2025-09-23,194,5,52.65,2025-06-27,84,HIGH,84.6,26,true,57.56,1,34,1843.18
118192,"Felimazole 2.5mg",36,2025-06-30,279,3,52,2025-06-27,63,MEDIUM,70,10,true,118,2,36,1842.44
139871,"Fortiflora PRO Fel Sachet",41.1,2025-11-03,153,3,34.94,2025-10-17,69,MEDIUM,73.7,19,true,50.1,2,58,1827.59
GPFURINE,"Geriatric Panel + Fructosamine + U/A",325.9,2025-09-29,188,3,,,68,MEDIUM,83.3,6,false,,0,6,1825.04
113566,"Hills Fel c/d Chicken - 4lbs",44.65,2025-08-12,236,6,89.3,2025-08-06,90,HIGH,93.8,16,true,46.44,1,40,1823.25
FVR2,"Feline FVRCP 2nd Vaccination",30,2025-08-29,219,8,,,100,HIGH,100,60,false,,0,60,1800
PCSB,"Private Cremation Satin Bag",112.5,2025-08-01,247,5,,,90,HIGH,100,16,false,,0,16,1800
HSPMED,"Hospitalization (Medical)",120,2025-05-07,333,5,,,90,HIGH,100,15,false,,0,15,1800
HS,"Hospitlization - Surgery",55,2025-02-23,406,14,,,98,HIGH,97.7,44,false,,0,33,1793
101383,"Tobradex Drops 5ml",39.34,2025-08-20,228,8,35.42,2025-07-26,96,HIGH,97,33,false,,0,47,1792.12
117503,"PVD K9 HA Vegetarian - 7.48kg",128.1,2025-11-06,150,5,119.71,2025-11-05,73,MEDIUM,72.7,11,false,,0,14,1778.47
115275,"Hills Fel t/d - 20lbs",160.71,2025-10-03,184,3,158.03,2025-06-18,68,MEDIUM,83.3,6,false,,0,11,1767.12
139883,"Hills K9 Derm Complete - 14.3lbs",117.86,2025-10-11,176,6,114.29,2025-07-29,79,HIGH,77.8,9,false,,0,15,1759.49
310,"Euthanasia  Humane/Unattended (Client)",135,2019-07-25,2446,46,95,2019-02-03,99,HIGH,98,147,false,,0,13,1755
112658,"Hills K9 z/d - 370g",74.16,2025-08-09,239,3,70.56,2025-07-07,80,HIGH,100,10,true,77.04,2,24,1745.1
140367,"Librela (40.1-60kg) per vial",102.4,2025-08-05,243,5,89.48,2025-07-31,82,HIGH,90,10,false,,0,18,1731.55
109579,"Deramaxx 100mg",45.53,2025-01-15,445,7,56.66,2024-12-07,89,HIGH,89.5,19,true,64.47,2,21,1717.99
138276,"Simparica TRIO Tan 5.1-10kg",70.82,2025-09-19,198,3,99.17,2025-07-29,48,LOW,50,4,false,,0,21,1701.32
VACC,"Puppy 1 - Da2ppv",30,2023-08-31,948,32,35,2023-07-19,98,HIGH,97.1,205,false,,0,56,1680
HN,"Hospitalization  12-24 Hours",140,2022-08-06,1338,6,116.6,2020-12-03,94,HIGH,100,16,false,,0,12,1680
0109,"Enucleation (Single Eye)",838.8,2025-06-16,293,2,,,69,MEDIUM,100,2,false,,0,2,1677.6
139884,"Hills K9 Derm Complete - 24lbs",168.75,2025-10-02,185,3,166.06,2025-07-11,77,HIGH,100,5,false,,0,10,1674.05
115883,"Fortekor 5mg",84.6,2020-02-12,2244,6,48.3,2020-01-06,70,MEDIUM,62.5,8,true,192.6,1,9,1668.04
VACC5A,"Puppy 3 - Da2ppv",30,2023-08-18,961,31,35,2023-07-19,99,HIGH,98,253,false,,0,55,1648.5
0008,"Canine  Neuter  15 -25 kg",320,2024-06-18,656,3,192,2024-02-12,55,MEDIUM,54.5,11,true,168,2,7,1624
118034,"MCRC Fel Hypo Hp - 3.5 kg",85.04,2025-09-12,205,5,63.78,2025-08-08,82,HIGH,90,10,true,88.44,1,20,1604.54
NSAIDIN,"NSAID + SDMA IN",122.28,2025-07-07,272,6,,,93,HIGH,100,13,false,,0,13,1589.64
143775,"Hills Fel C/D Stress Tuna - 5.5 oz",78.48,2025-10-03,184,6,19.62,2025-09-29,84,HIGH,82.4,17,false,,0,25,1583.02
URINEC,"Urine Collection",607.6,2022-09-20,1293,10,40.9,2021-01-05,86,HIGH,86.7,15,false,,0,3,1579.76
